URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-operational-location-status-vs,1.0.0,active,"2.16.620.1.101.10.4.6.26",CPARADMOperationalLocationStatusVS,CPARADM - Operational Location Status,"Conjunto de valores OperationalLocationStatus (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-organization-type-vs,1.0.0,active,"2.16.620.1.101.10.4.6.221",CPARADMOrganizationTypeVS,CPARADM - Organization Type,"Conjunto de valores OrganizationType (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-patient-encounter-status-vs,1.0.0,active,"2.16.620.1.101.10.4.6.27",CPARADMPatientEncounterStatusVS,CPARADM - Patient Encounter Status,"Conjunto de valores PatientEncounterStatus (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-patient-transfer-reason-vs,1.0.0,active,"2.16.620.1.101.10.4.6.175",CPARADMPatientTransferReasonVS,CPARADM - Patient Transfer Reason,"Conjunto de valores PatientTransferReason (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-priority-vs,1.0.0,active,"2.16.620.1.101.10.4.6.28",CPARADMPriorityVS,CPARADM - Priority,"Conjunto de valores Priority (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-provenance-vs,1.0.0,active,"2.16.620.1.101.10.4.6.34",CPARADMProvenanceVS,CPARADM - Provenance,"Conjunto de valores Provenance (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-reason-not-elegible-for-schedule-vs,1.0.0,active,"2.16.620.1.101.10.4.6.176",CPARADMReasonNotElegibleForScheduleVS,CPARADM - Reason Not Elegible ForSchedule,"Conjunto de valores ReasonNotElegibleForSchedule (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-surgery-waiting-list-suspension-vs,1.0.0,active,"2.16.620.1.101.10.4.6.177",CPARADMSurgeryWaitingListSuspensionVS,CPARADM - Surgery Waiting List Suspension,"Conjunto de valores SurgeryWaitingListSuspension (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-type-of-planning-vs,1.0.0,active,"2.16.620.1.101.10.4.6.29",CPARADMTypeOfPlanningVS,CPARADM - Type of Planning,"Conjunto de valores TypeOfPlanning (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cpcbd-marital-status-vs,1.0.0,active,"2.16.620.1.101.10.4.6.59",CPCBDMaritalStatusVS,CPCBD - Marital Status,"Conjunto de valores MaritalStatus (CPCBD v1.1.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cpcbd-person-in-family-vs,1.0.0,active,"2.16.620.1.101.10.4.6.61",CPCBDPersonInFamilyVS,CPCBD - Person in Family,"Conjunto de valores PersonInFamily (CPCBD v1.1.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cpcbd-person-vs,1.0.0,active,"2.16.620.1.101.10.4.6.60",CPCBDPersonVS,CPCBD - Person,"Conjunto de valores Person (CPCBD v1.1.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cpcbd-sex-vs,1.0.0,active,"2.16.620.1.101.10.4.6.62",CPCBDSexVS,CPCBD - Sex-Gender,"Conjunto de valores Sex (CPCBD v1.1.0).",,"SCT"
